,County,State,Living Wage,Cost Average,CompSciSalary
0,Abbeville,South Carolina,57278.00000000001,69896.0,"$77,329 "
1,Acadia,Louisiana,58480.93333333333,71543.41666666667,"$72,760 "
2,Accomack,Virginia,56080.26666666667,68493.08333333333,"$110,039 "
3,Ada,Idaho,63237.200000000004,77379.16666666667,"$75,349 "
4,Adair,Iowa,60554.00000000001,74072.66666666667,"$85,033 "
5,Adair,Kentucky,56385.33333333332,69131.83333333333,"$75,831 "
6,Adair,Missouri,55657.333333333336,67802.75,"$84,134 "
7,Adair,Oklahoma,56915.73333333334,69603.83333333333,"$76,045 "
8,Adams,Colorado,73812.26666666668,90521.75,"$103,469 "
9,Adams,Idaho,57555.33333333334,70284.08333333333,"$75,349 "
10,Adams,Illinois,58869.200000000004,72034.91666666667,"$97,295 "
11,Adams,Indiana,54589.600000000006,66641.75,"$79,779 "
12,Adams,Iowa,60502.00000000001,74041.75,"$85,033 "
13,Adams,Mississippi,56437.333333333336,68942.41666666667,"$69,753 "
14,Adams,Nebraska,59987.19999999999,73455.25,"$83,749 "
15,Adams,North Dakota,56990.26666666666,69806.08333333333,"$73,787 "
16,Adams,Ohio,57602.13333333333,70692.41666666667,"$87,226 "
17,Adams,Pennsylvania,59722.00000000001,73047.5,"$88,928 "
18,Adams,Washington,54591.33333333334,66880.66666666667,"$131,043 "
19,Adams,Wisconsin,59091.06666666668,72446.25,"$83,503 "
20,Addison,Vermont,66457.73333333334,81664.5,"$77,671 "
21,Aiken,South Carolina,60070.4,73385.75,"$77,329 "
22,Aitkin,Minnesota,60836.53333333335,74669.0,"$97,916 "
23,Alachua,Florida,62051.600000000006,76085.5,"$82,133 "
24,Alamance,North Carolina,62032.533333333326,76170.08333333333,"$94,214 "
25,Alameda,California,92048.66666666667,113062.83333333333,"$119,872 "
26,Alamosa,Colorado,60280.133333333324,73875.0,"$103,469 "
27,Albany,New York,68563.73333333334,84346.91666666667,"$102,164 "
28,Albany,Wyoming,56598.533333333326,69365.83333333333,"$66,672 "
29,Albemarle,Virginia,66450.8,81330.5,"$110,039 "
30,Alcona,Michigan,56808.266666666685,69500.25,"$84,166 "
31,Alcorn,Mississippi,56024.799999999996,68384.25,"$69,753 "
32,Aleutians East,Alaska,59982.0,73434.16666666667,"$87,526 "
33,Aleutians West,Alaska,67463.06666666667,82650.25,"$87,526 "
34,Alexander,Illinois,59962.93333333334,73415.83333333333,"$97,295 "
35,Alexander,North Carolina,56704.26666666666,69379.25,"$94,214 "
36,Alexandria,Virginia,80187.46666666666,98632.25,"$110,039 "
37,Alfalfa,Oklahoma,56926.13333333334,69605.41666666667,"$76,045 "
38,Alger,Michigan,61848.799999999996,76300.83333333333,"$84,166 "
39,Allamakee,Iowa,61230.0,75012.25,"$85,033 "
40,Allegan,Michigan,62337.600000000006,76684.0,"$84,166 "
41,Allegany,Maryland,56657.46666666665,69309.41666666667,"$109,975 "
42,Allegany,New York,60404.93333333333,74126.33333333333,"$102,164 "
43,Alleghany,North Carolina,54600.0,66603.75,"$94,214 "
44,Alleghany,Virginia,57399.33333333332,70218.0,"$110,039 "
45,Allegheny,Pennsylvania,60569.600000000006,74249.58333333333,"$88,928 "
46,Allen,Indiana,55331.46666666667,67597.0,"$79,779 "
47,Allen,Kansas,57726.93333333332,70449.58333333333,"$78,720 "
48,Allen,Kentucky,55407.73333333333,67799.83333333333,"$75,831 "
49,Allen,Louisiana,58292.0,71316.33333333333,"$72,760 "
50,Allen,Ohio,56045.600000000006,68578.33333333333,"$87,226 "
51,Allendale,South Carolina,57922.80000000001,70786.33333333333,"$77,329 "
52,Alpena,Michigan,59408.266666666685,73001.91666666667,"$84,166 "
53,Alpine,California,67428.4,82710.0,"$119,872 "
54,Amador,California,68619.2,84068.91666666667,"$119,872 "
55,Amelia,Virginia,63705.20000000001,77760.41666666667,"$110,039 "
56,Amherst,Virginia,58305.86666666666,71280.41666666667,"$110,039 "
57,Amite,Mississippi,54891.200000000004,66899.25,"$69,753 "
58,Anderson,Kansas,58331.86666666667,71252.33333333333,"$78,720 "
59,Anderson,Kentucky,57576.13333333333,70585.83333333333,"$75,831 "
60,Anderson,South Carolina,60139.73333333334,73463.66666666667,"$77,329 "
61,Anderson,Tennessee,55107.86666666667,67418.0,"$77,543 "
62,Anderson,Texas,54494.26666666667,66584.5,"$96,439 "
63,Andrew,Missouri,57685.33333333334,70257.75,"$84,134 "
64,Andrews,Texas,58382.13333333333,71375.91666666667,"$96,439 "
65,Androscoggin,Maine,64081.333333333336,78517.75,"$81,213 "
66,Angelina,Texas,55246.53333333333,67443.08333333333,"$96,439 "
67,Anne Arundel,Maryland,69251.86666666667,84972.25,"$109,975 "
68,Anoka,Minnesota,70953.99999999999,87015.58333333333,"$97,916 "
69,Anson,North Carolina,58373.466666666674,71625.33333333333,"$94,214 "
70,Antelope,Nebraska,59744.53333333335,73171.08333333333,"$83,749 "
71,Antrim,Michigan,62682.53333333333,77384.16666666667,"$84,166 "
72,Apache,Arizona,57877.73333333333,70867.5,"$89,591 "
73,Appanoose,Iowa,60207.33333333334,73657.91666666667,"$85,033 "
74,Appling,Georgia,54908.53333333333,67042.91666666667,"$95,594 "
75,Appomattox,Virginia,58305.86666666666,71280.41666666667,"$110,039 "
76,Aransas,Texas,57305.73333333333,70095.91666666667,"$96,439 "
77,Arapahoe,Colorado,74051.46666666667,90840.75,"$103,469 "
78,Archer,Texas,54912.0,67071.41666666667,"$96,439 "
79,Archuleta,Colorado,63219.86666666667,77475.5,"$103,469 "
80,Arenac,Michigan,57395.86666666667,70341.66666666667,"$84,166 "
81,Arkansas,Arkansas,56333.33333333332,68931.33333333333,"$74,686 "
82,Arlington,Virginia,84259.06666666667,104062.66666666667,"$110,039 "
83,Armstrong,Pennsylvania,57024.93333333334,69852.25,"$88,928 "
84,Armstrong,Texas,56458.13333333334,69016.08333333333,"$96,439 "
85,Aroostook,Maine,58844.93333333334,71920.25,"$81,213 "
86,Arthur,Nebraska,59846.80000000001,73279.08333333333,"$83,749 "
87,Ascension,Louisiana,63294.399999999994,77469.75,"$72,760 "
88,Ashe,North Carolina,55910.4,68306.41666666667,"$94,214 "
89,Ashland,Ohio,55737.06666666666,68206.0,"$87,226 "
90,Ashland,Wisconsin,57803.19999999999,70777.66666666667,"$83,503 "
91,Ashley,Arkansas,54717.86666666667,66827.08333333333,"$74,686 "
92,Ashtabula,Ohio,57551.86666666667,70630.58333333333,"$87,226 "
93,Asotin,Washington,56111.46666666667,68757.75,"$131,043 "
94,Assumption,Louisiana,59475.86666666667,72780.25,"$72,760 "
95,Atascosa,Texas,57068.26666666666,69917.08333333333,"$96,439 "
96,Atchison,Kansas,58415.06666666667,71367.41666666667,"$78,720 "
97,Atchison,Missouri,55298.533333333326,67366.66666666667,"$84,134 "
98,Athens,Ohio,59117.06666666666,72497.75,"$87,226 "
99,Atkinson,Georgia,54747.333333333336,66847.75,"$95,594 "
100,Atlantic,New Jersey,72503.59999999998,88933.08333333333,"$107,257 "
101,Atoka,Oklahoma,56920.93333333334,69605.25,"$76,045 "
102,Attala,Mississippi,55808.13333333333,68095.83333333333,"$69,753 "
103,Audrain,Missouri,55546.4,67667.16666666667,"$84,134 "
104,Audubon,Iowa,60075.600000000006,73494.91666666667,"$85,033 "
105,Auglaize,Ohio,57832.66666666668,70962.83333333333,"$87,226 "
106,Augusta,Virginia,61666.799999999996,75537.08333333333,"$110,039 "
107,Aurora,South Dakota,54769.86666666665,67054.66666666667,"$70,727 "
108,Austin,Texas,58286.80000000001,71395.66666666667,"$96,439 "
109,Autauga,Alabama,58792.93333333334,71872.5,"$86,938 "
110,Avery,North Carolina,58467.06666666666,71577.08333333333,"$94,214 "
111,Avoyelles,Louisiana,58189.73333333334,71210.41666666667,"$72,760 "
112,Baca,Colorado,57985.200000000004,70940.5,"$103,469 "
113,Bacon,Georgia,54749.06666666666,66857.16666666667,"$95,594 "
114,Bailey,Texas,54161.466666666674,66212.83333333333,"$96,439 "
115,Baker,Florida,55716.26666666667,68171.58333333333,"$82,133 "
116,Baker,Georgia,56295.200000000004,68712.41666666667,"$95,594 "
117,Baker,Oregon,61136.4,74739.58333333333,"$94,781 "
118,Baldwin,Alabama,59403.06666666666,72595.83333333333,"$86,938 "
119,Baldwin,Georgia,56340.26666666666,68873.75,"$95,594 "
120,Ballard,Kentucky,55262.13333333333,67634.25,"$75,831 "
121,Baltimore,Maryland,67282.8,82346.0,"$109,975 "
122,Bamberg,South Carolina,58638.66666666668,71647.75,"$77,329 "
123,Bandera,Texas,60096.4,73543.5,"$96,439 "
124,Banks,Georgia,55177.200000000004,67364.66666666667,"$95,594 "
125,Banner,Nebraska,59803.46666666667,73227.08333333333,"$83,749 "
126,Bannock,Idaho,58163.73333333333,71032.08333333333,"$75,349 "
127,Baraga,Michigan,56491.06666666667,69149.58333333333,"$84,166 "
128,Barber,Kansas,58113.46666666667,70956.66666666667,"$78,720 "
129,Barbour,Alabama,53993.333333333336,65926.41666666667,"$86,938 "
130,Barbour,West Virginia,57898.533333333326,71046.83333333333,"$70,920 "
131,Barnes,North Dakota,56662.666666666664,69364.0,"$73,787 "
132,Barnstable,Massachusetts,79062.53333333334,97498.33333333333,"$108,541 "
133,Barnwell,South Carolina,58064.93333333334,70967.25,"$77,329 "
134,Barren,Kentucky,56284.799999999996,68976.75,"$75,831 "
135,Barron,Wisconsin,58638.66666666666,71857.66666666667,"$83,503 "
136,Barrow,Georgia,63029.19999999999,76900.08333333333,"$95,594 "
137,Barry,Michigan,64154.133333333324,79125.66666666667,"$84,166 "
138,Barry,Missouri,55593.200000000004,67708.91666666667,"$84,134 "
139,Bartholomew,Indiana,58144.66666666668,71070.08333333333,"$79,779 "
140,Barton,Kansas,59028.666666666664,72161.08333333333,"$78,720 "
141,Barton,Missouri,55622.666666666664,67779.91666666667,"$84,134 "
142,Bartow,Georgia,63029.19999999999,76900.08333333333,"$95,594 "
143,Bastrop,Texas,64771.19999999999,79215.5,"$96,439 "
144,Bates,Missouri,56173.86666666666,68430.66666666667,"$84,134 "
145,Bath,Kentucky,55565.46666666667,68072.41666666667,"$75,831 "
146,Bath,Virginia,57902.0,70934.58333333333,"$110,039 "
147,Baxter,Arkansas,56953.866666666676,69718.83333333333,"$74,686 "
148,Bay,Florida,61216.13333333333,74912.0,"$82,133 "
149,Bay,Michigan,62722.399999999994,77380.33333333333,"$84,166 "
150,Bayfield,Wisconsin,58508.666666666664,71676.0,"$83,503 "
151,Baylor,Texas,53943.06666666666,65918.08333333333,"$96,439 "
152,Beadle,South Dakota,55182.39999999999,67529.75,"$70,727 "
153,Bear Lake,Idaho,57593.466666666674,70323.33333333333,"$75,349 "
154,Beaufort,North Carolina,58051.06666666666,71142.41666666667,"$94,214 "
155,Beaufort,South Carolina,65552.93333333333,79947.75,"$77,329 "
156,Beauregard,Louisiana,59702.93333333333,73148.75,"$72,760 "
157,Beaver,Oklahoma,56636.666666666664,69265.0,"$76,045 "
158,Beaver,Pennsylvania,62003.06666666667,76157.83333333333,"$88,928 "
159,Beaver,Utah,57284.93333333334,70150.33333333333,"$84,177 "
160,Beaverhead,Montana,60684.0,74511.66666666667,"$70,010 "
161,Becker,Minnesota,59774.0,73271.58333333333,"$97,916 "
162,Beckham,Oklahoma,57976.53333333333,70869.58333333333,"$76,045 "
163,Bedford,Pennsylvania,56241.46666666665,68852.25,"$88,928 "
164,Bedford,Tennessee,52419.46666666667,64009.416666666664,"$77,543 "
165,Bedford,Virginia,60042.66666666666,73595.25,"$110,039 "
166,Bee,Texas,57309.19999999999,70074.25,"$96,439 "
167,Belknap,New Hampshire,60606.0,74283.0,"$97,488 "
168,Bell,Kentucky,53334.666666666664,65085.0,"$75,831 "
169,Bell,Texas,55198.00000000001,67435.16666666667,"$96,439 "
170,Belmont,Ohio,57583.06666666668,70658.75,"$87,226 "
171,Beltrami,Minnesota,60456.93333333334,74082.66666666667,"$97,916 "
172,Ben Hill,Georgia,54813.200000000004,66928.41666666667,"$95,594 "
173,Benewah,Idaho,59510.53333333333,72740.58333333333,"$75,349 "
174,Bennett,South Dakota,54823.599999999984,67124.83333333333,"$70,727 "
175,Bennington,Vermont,64701.86666666667,79471.33333333333,"$77,671 "
176,Benson,North Dakota,57045.73333333333,69905.41666666667,"$73,787 "
177,Bent,Colorado,57746.00000000001,70589.75,"$103,469 "
178,Benton,Arkansas,61989.200000000004,76244.91666666667,"$74,686 "
179,Benton,Indiana,56934.799999999996,69541.08333333333,"$79,779 "
180,Benton,Iowa,61342.666666666664,75188.83333333333,"$85,033 "
181,Benton,Minnesota,61346.13333333334,75136.5,"$97,916 "
182,Benton,Mississippi,55523.86666666667,67698.25,"$69,753 "
183,Benton,Missouri,55761.333333333336,67910.0,"$84,134 "
184,Benton,Oregon,69269.2,84797.41666666667,"$94,781 "
185,Benton,Tennessee,51005.06666666666,62325.5,"$77,543 "
186,Benton,Washington,58616.13333333333,71879.91666666667,"$131,043 "
187,Benzie,Michigan,59418.666666666664,72836.66666666667,"$84,166 "
188,Bergen,New Jersey,81529.06666666668,100324.41666666667,"$107,257 "
189,Berkeley,South Carolina,65466.26666666666,79854.5,"$77,329 "
190,Berkeley,West Virginia,63152.26666666666,77599.41666666667,"$70,920 "
191,Berks,Pennsylvania,60755.06666666667,74532.83333333333,"$88,928 "
192,Berkshire,Massachusetts,70170.53333333333,86494.83333333333,"$108,541 "
193,Bernalillo,New Mexico,61535.06666666667,75279.41666666667,"$79,876 "
194,Berrien,Georgia,54865.200000000004,66990.41666666667,"$95,594 "
195,Berrien,Michigan,62568.13333333334,77104.16666666667,"$84,166 "
196,Bertie,North Carolina,56690.399999999994,69379.58333333333,"$94,214 "
197,Bethel,Alaska,65019.06666666667,79326.33333333333,"$87,526 "
198,Bexar,Texas,60096.4,73543.5,"$96,439 "
199,Bibb,Alabama,59921.33333333332,73146.25,"$86,938 "
200,Bibb,Georgia,57321.333333333336,70093.91666666667,"$95,594 "
201,Bienville,Louisiana,58777.333333333336,71936.66666666667,"$72,760 "
202,Big Horn,Montana,62224.93333333334,76347.25,"$70,010 "
203,Big Horn,Wyoming,56411.333333333336,69286.5,"$66,672 "
204,Big Stone,Minnesota,59933.466666666674,73451.41666666667,"$97,916 "
205,Billings,North Dakota,57619.46666666667,70562.0,"$73,787 "
206,Bingham,Idaho,57850.0,70633.91666666667,"$75,349 "
207,Black Hawk,Iowa,63602.93333333334,77975.75,"$85,033 "
208,Blackford,Indiana,53974.26666666666,65865.5,"$79,779 "
209,Bladen,North Carolina,56494.53333333332,69084.16666666667,"$94,214 "
210,Blaine,Idaho,63888.93333333334,78160.08333333333,"$75,349 "
211,Blaine,Montana,60654.53333333333,74484.0,"$70,010 "
212,Blaine,Nebraska,59730.666666666664,73141.16666666667,"$83,749 "
213,Blaine,Oklahoma,56844.666666666664,69513.0,"$76,045 "
214,Blair,Pennsylvania,55846.26666666666,68217.41666666667,"$88,928 "
215,Blanco,Texas,57558.79999999999,70529.66666666667,"$96,439 "
216,Bland,Virginia,56374.93333333333,68895.58333333333,"$110,039 "
217,Bleckley,Georgia,54671.06666666667,66755.91666666667,"$95,594 "
218,Bledsoe,Tennessee,51256.4,62620.0,"$77,543 "
219,Blount,Alabama,60491.600000000006,73908.0,"$86,938 "
220,Blount,Tennessee,55107.86666666667,67418.0,"$77,543 "
221,Blue Earth,Minnesota,63081.200000000004,77233.5,"$97,916 "
222,Boise,Idaho,63237.200000000004,77379.16666666667,"$75,349 "
223,Bolivar,Mississippi,55714.53333333332,67973.08333333333,"$69,753 "
224,Bollinger,Missouri,58626.53333333335,71494.66666666667,"$84,134 "
225,Bon Homme,South Dakota,54990.0,67305.83333333333,"$70,727 "
226,Bond,Illinois,58740.93333333333,71934.08333333333,"$97,295 "
227,Bonner,Idaho,60893.73333333333,74535.58333333333,"$75,349 "
228,Bonneville,Idaho,60633.73333333333,74263.08333333333,"$75,349 "
229,Boone,Arkansas,55986.66666666665,68498.0,"$74,686 "
230,Boone,Illinois,61106.93333333333,74985.83333333333,"$97,295 "
231,Boone,Indiana,59437.73333333334,72761.0,"$79,779 "
232,Boone,Iowa,62609.73333333334,76716.25,"$85,033 "
233,Boone,Kentucky,60708.26666666667,74485.58333333333,"$75,831 "
234,Boone,Missouri,63550.93333333333,77929.66666666667,"$84,134 "
235,Boone,Nebraska,59687.333333333336,73087.75,"$83,749 "
236,Boone,West Virginia,57919.333333333336,71106.66666666667,"$70,920 "
237,Borden,Texas,55329.73333333333,67705.5,"$96,439 "
238,Bosque,Texas,53254.93333333334,65062.333333333336,"$96,439 "
239,Bossier,Louisiana,59914.399999999994,73310.08333333333,"$72,760 "
240,Botetourt,Virginia,60406.666666666664,73832.0,"$110,039 "
241,Bottineau,North Dakota,56681.73333333333,69454.08333333333,"$73,787 "
242,Boulder,Colorado,78055.46666666669,95955.0,"$103,469 "
243,Boundary,Idaho,58295.466666666674,71259.0,"$75,349 "
244,Bourbon,Kansas,57938.4,70706.75,"$78,720 "
245,Bourbon,Kentucky,60807.06666666666,74600.33333333333,"$75,831 "
246,Bowie,Texas,54445.73333333334,66478.91666666667,"$96,439 "
247,Bowman,North Dakota,56340.26666666666,68941.83333333333,"$73,787 "
248,Box Butte,Nebraska,59860.666666666664,73296.75,"$83,749 "
249,Box Elder,Utah,57978.26666666667,70973.75,"$84,177 "
250,Boyd,Kentucky,57144.53333333333,69940.5,"$75,831 "
251,Boyd,Nebraska,60164.0,73686.16666666667,"$83,749 "
252,Boyle,Kentucky,58404.666666666664,71698.25,"$75,831 "
253,Bracken,Kentucky,58995.73333333334,72203.91666666667,"$75,831 "
254,Bradford,Florida,55601.86666666667,67998.08333333333,"$82,133 "
255,Bradford,Pennsylvania,56978.13333333334,69716.41666666667,"$88,928 "
256,Bradley,Arkansas,54492.53333333333,66534.0,"$74,686 "
257,Bradley,Tennessee,53868.53333333333,65924.0,"$77,543 "
