,Occupational Area,Typical Annual Salary,State,County
0,Management,"$101,778",Alabama,Autauga
1,Business &amp; Financial Operations,"$71,198",Alabama,Autauga
2,Computer &amp; Mathematical,"$86,938",Alabama,Autauga
3,Architecture &amp; Engineering,"$90,447",Alabama,Autauga
4,"Life, Physical, &amp; Social Science","$64,992",Alabama,Autauga
5,Community &amp; Social Service,"$47,059",Alabama,Autauga
6,Legal,"$69,240",Alabama,Autauga
7,"Education, Training, &amp; Library","$54,260",Alabama,Autauga
8,"Arts, Design, Entertainment, Sports, &amp; Media","$41,698",Alabama,Autauga
9,Healthcare Practitioners &amp; Technical,"$58,080",Alabama,Autauga
10,Healthcare Support,"$26,055",Alabama,Autauga
11,Protective Service,"$39,975",Alabama,Autauga
12,Food Preparation &amp; Serving Related,"$20,812",Alabama,Autauga
13,Building &amp; Grounds Cleaning &amp; Maintenance,"$26,108",Alabama,Autauga
14,Personal Care &amp; Service,"$23,925",Alabama,Autauga
15,Sales &amp; Related,"$28,291",Alabama,Autauga
16,Office &amp; Administrative Support,"$36,829",Alabama,Autauga
17,"Farming, Fishing, &amp; Forestry","$32,132",Alabama,Autauga
18,Construction &amp; Extraction,"$42,490",Alabama,Autauga
19,"Installation, Maintenance, &amp; Repair","$48,910",Alabama,Autauga
20,Production,"$36,123",Alabama,Autauga
21,Transportation &amp; Material Moving,"$32,175",Alabama,Autauga
0,Management,"$101,778",Alabama,Baldwin
1,Business &amp; Financial Operations,"$71,198",Alabama,Baldwin
2,Computer &amp; Mathematical,"$86,938",Alabama,Baldwin
3,Architecture &amp; Engineering,"$90,447",Alabama,Baldwin
4,"Life, Physical, &amp; Social Science","$64,992",Alabama,Baldwin
5,Community &amp; Social Service,"$47,059",Alabama,Baldwin
6,Legal,"$69,240",Alabama,Baldwin
7,"Education, Training, &amp; Library","$54,260",Alabama,Baldwin
8,"Arts, Design, Entertainment, Sports, &amp; Media","$41,698",Alabama,Baldwin
9,Healthcare Practitioners &amp; Technical,"$58,080",Alabama,Baldwin
10,Healthcare Support,"$26,055",Alabama,Baldwin
11,Protective Service,"$39,975",Alabama,Baldwin
12,Food Preparation &amp; Serving Related,"$20,812",Alabama,Baldwin
13,Building &amp; Grounds Cleaning &amp; Maintenance,"$26,108",Alabama,Baldwin
14,Personal Care &amp; Service,"$23,925",Alabama,Baldwin
15,Sales &amp; Related,"$28,291",Alabama,Baldwin
16,Office &amp; Administrative Support,"$36,829",Alabama,Baldwin
17,"Farming, Fishing, &amp; Forestry","$32,132",Alabama,Baldwin
18,Construction &amp; Extraction,"$42,490",Alabama,Baldwin
19,"Installation, Maintenance, &amp; Repair","$48,910",Alabama,Baldwin
20,Production,"$36,123",Alabama,Baldwin
21,Transportation &amp; Material Moving,"$32,175",Alabama,Baldwin
0,Management,"$101,778",Alabama,Barbour
1,Business &amp; Financial Operations,"$71,198",Alabama,Barbour
2,Computer &amp; Mathematical,"$86,938",Alabama,Barbour
3,Architecture &amp; Engineering,"$90,447",Alabama,Barbour
4,"Life, Physical, &amp; Social Science","$64,992",Alabama,Barbour
5,Community &amp; Social Service,"$47,059",Alabama,Barbour
6,Legal,"$69,240",Alabama,Barbour
7,"Education, Training, &amp; Library","$54,260",Alabama,Barbour
8,"Arts, Design, Entertainment, Sports, &amp; Media","$41,698",Alabama,Barbour
9,Healthcare Practitioners &amp; Technical,"$58,080",Alabama,Barbour
10,Healthcare Support,"$26,055",Alabama,Barbour
11,Protective Service,"$39,975",Alabama,Barbour
12,Food Preparation &amp; Serving Related,"$20,812",Alabama,Barbour
13,Building &amp; Grounds Cleaning &amp; Maintenance,"$26,108",Alabama,Barbour
14,Personal Care &amp; Service,"$23,925",Alabama,Barbour
15,Sales &amp; Related,"$28,291",Alabama,Barbour
16,Office &amp; Administrative Support,"$36,829",Alabama,Barbour
17,"Farming, Fishing, &amp; Forestry","$32,132",Alabama,Barbour
18,Construction &amp; Extraction,"$42,490",Alabama,Barbour
19,"Installation, Maintenance, &amp; Repair","$48,910",Alabama,Barbour
20,Production,"$36,123",Alabama,Barbour
21,Transportation &amp; Material Moving,"$32,175",Alabama,Barbour
0,Management,"$101,778",Alabama,Bibb
1,Business &amp; Financial Operations,"$71,198",Alabama,Bibb
2,Computer &amp; Mathematical,"$86,938",Alabama,Bibb
3,Architecture &amp; Engineering,"$90,447",Alabama,Bibb
4,"Life, Physical, &amp; Social Science","$64,992",Alabama,Bibb
5,Community &amp; Social Service,"$47,059",Alabama,Bibb
6,Legal,"$69,240",Alabama,Bibb
7,"Education, Training, &amp; Library","$54,260",Alabama,Bibb
8,"Arts, Design, Entertainment, Sports, &amp; Media","$41,698",Alabama,Bibb
9,Healthcare Practitioners &amp; Technical,"$58,080",Alabama,Bibb
10,Healthcare Support,"$26,055",Alabama,Bibb
11,Protective Service,"$39,975",Alabama,Bibb
12,Food Preparation &amp; Serving Related,"$20,812",Alabama,Bibb
13,Building &amp; Grounds Cleaning &amp; Maintenance,"$26,108",Alabama,Bibb
14,Personal Care &amp; Service,"$23,925",Alabama,Bibb
15,Sales &amp; Related,"$28,291",Alabama,Bibb
16,Office &amp; Administrative Support,"$36,829",Alabama,Bibb
17,"Farming, Fishing, &amp; Forestry","$32,132",Alabama,Bibb
18,Construction &amp; Extraction,"$42,490",Alabama,Bibb
19,"Installation, Maintenance, &amp; Repair","$48,910",Alabama,Bibb
20,Production,"$36,123",Alabama,Bibb
21,Transportation &amp; Material Moving,"$32,175",Alabama,Bibb
0,Management,"$101,778",Alabama,Blount
