,CostType,1 ADULT - 0,1 ADULT - 1,1 ADULT - 2,1 ADULT - 3,2 ADULTS(1 WORKING) - 0,2 ADULTS(1 WORKING) - 1,2 ADULTS(1 WORKING) - 2,2 ADULTS(1 WORKING) - 3,2 ADULTS(BOTH WORKING) - 0,2 ADULTS(BOTH WORKING) - 1,2 ADULTS(BOTH WORKING) - 2,2 ADULTS(BOTH WORKING) - 3,State
0,Annual taxes,6275.339060039068,11759.099260271763,14505.321521645563,18900.21872984943,9780.477043909148,11672.233021684195,13809.18710043718,14949.134396771498,9780.477043909148,13115.570582599043,16695.63904549518,19278.382914595444,Alabama
1,Child Care,0.0,6172.24977632365,12344.37400616755,18516.623782491202,0.0,6172.24977632365,12344.37400616755,18516.623782491202,0.0,6172.24977632365,12344.37400616755,18516.623782491202,Alabama
2,Civic,2503.0,4019.0,4965.000000000002,6483.000000000002,4019.0,4965.000000000002,6483.000000000002,5153.000000000001,4019.0,4965.000000000002,6483.000000000002,5153.000000000001,Alabama
3,Food,3350.9999999999995,4937.000000000002,7417.0,9838.000000000002,6142.999999999998,7645.000000000002,9856.0,11999.000000000002,6142.999999999998,7645.000000000002,9856.0,11999.000000000002,Alabama
4,Housing,8113.69550337623,10622.963088869865,10622.963088869865,13897.840657699115,8750.449581380355,10622.963088869865,10622.963088869865,13897.840657699115,8750.449581380355,10622.963088869865,10622.963088869865,13897.840657699115,Alabama
5,Medical,2733.0,7920.999999999998,7708.0,8017.999999999998,6297.999999999997,7708.0,8017.999999999998,7807.0,6297.999999999997,7708.0,8017.999999999998,7807.0,Alabama
6,Other,4507.999999999998,6723.0,6149.999999999999,8948.000000000002,6723.0,6149.999999999999,8948.000000000002,8655.0,6723.0,6149.999999999999,8948.000000000002,8655.0,Alabama
7,Required annual income after taxes,26839.877971446687,50294.365436308806,62040.05291315287,80836.59750712218,41831.42827812963,49923.18663593924,59063.09779248196,63938.3783385912,41831.42827812963,56095.43641226289,71407.47179864952,82455.00212108239,Alabama
8,Required annual income before taxes,33115.177747415604,62053.61067190403,76545.40638583164,99736.73802099835,51611.92057696279,61595.69364499036,72872.48736573507,78887.56338376789,51611.92057696279,69211.02245336103,88102.92527416609,101733.38885059129,Alabama
9,Transportation,5509.0,9776.000000000004,12709.000000000002,15012.0,9776.000000000004,12709.000000000002,15012.0,16303.999999999998,9776.000000000004,12709.000000000002,15012.0,16303.999999999998,Alabama
0,Annual taxes,4782.634784163593,9436.266003787323,11845.379356741261,15876.84130469194,7383.394037017278,8935.094023532996,10479.11463396045,11744.083966019616,7383.394037017278,10412.266003787323,13433.81084194666,16175.904698391852,Alaska
1,Child Care,0.0,9112.356175506686,18224.67660887969,27337.060570795395,0.0,9112.356175506686,18224.67660887969,27337.060570795395,0.0,9112.356175506686,18224.67660887969,27337.060570795395,Alaska
2,Civic,2580.999999999999,4144.0,5120.0,6685.999999999999,4144.0,5120.0,6685.999999999999,5314.000000000001,4144.0,5120.0,6685.999999999999,5314.000000000001,Alaska
3,Food,3999.0000000000005,5892.999999999999,8853.000000000002,11742.0,7331.999999999999,9124.0,11764.000000000002,14320.999999999998,7331.999999999999,9124.0,11764.000000000002,14320.999999999998,Alaska
4,Housing,10730.881728215561,15243.825193909799,15243.825193909799,21222.04864893386,11614.984358236256,15243.825193909799,15243.825193909799,21222.04864893386,11614.984358236256,15243.825193909799,15243.825193909799,21222.04864893386,Alaska
5,Medical,2382.0,7849.000000000001,7635.0,7944.999999999999,6486.999999999999,7635.0,7944.999999999999,7734.0,6486.999999999999,7635.0,7944.999999999999,7734.0,Alaska
6,Other,4748.0,7080.0,6477.000000000001,9424.0,7080.0,6477.000000000001,9424.0,9115.000000000002,7080.0,6477.000000000001,9424.0,9115.000000000002,Alaska
7,Required annual income after taxes,29501.88172821556,58207.601135024546,73067.94332792007,97934.12980084306,45543.57625652962,55115.244959517855,64640.26671904037,72442.65571997256,45543.57625652962,64227.601135024524,82864.94332792009,99779.71629076794,Alaska
8,Required annual income before taxes,34284.50677438456,67643.82154436035,84913.69512338114,113810.71916643706,52926.995843324396,64050.27165252771,75119.38853484513,84186.72592909612,52926.995843324396,74639.82154436035,96298.74897255655,115955.61114563608,Alaska
9,Transportation,4938.0,8762.0,11390.999999999996,13456.0,8762.0,11390.999999999996,13456.0,14613.0,8762.0,11390.999999999996,13456.0,14613.0,Alaska
0,Annual taxes,6272.538765846329,12153.302481235385,14759.778595681022,19620.565211666435,9926.033032272406,12151.60884061128,14259.591764971097,16025.87010811098,9926.033032272406,13485.318509071032,16927.778595681026,20028.64771441776,Arizona
1,Child Care,0.0,6028.986345521122,12057.651662946379,18086.577517628622,0.0,6028.986345521122,12057.651662946379,18086.577517628622,0.0,6028.986345521122,12057.651662946379,18086.577517628622,Arizona
