,WageType,1 ADULT - 0,1 ADULT - 1,1 ADULT - 2,1 ADULT - 3,2 ADULTS(1 WORKING) - 0,2 ADULTS(1 WORKING) - 1,2 ADULTS(1 WORKING) - 2,2 ADULTS(1 WORKING) - 3,2 ADULTS(BOTH WORKING) - 0,2 ADULTS(BOTH WORKING) - 1,2 ADULTS(BOTH WORKING) - 2,2 ADULTS(BOTH WORKING) - 3,State
0,Living Wage,15.920632590215469,29.833772460258523,36.80016096617145,47.95106036975377,24.81371213859026,29.613171157141792,35.03565834748307,37.92649544291464,12.408278866664459,16.638971961824858,21.178661698095667,24.454082932883694,Alabama
1,Minimum Wage,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,Alabama
2,Poverty Wage,6.190000000000002,8.38,10.559999999999995,12.74,8.38,10.559999999999995,12.74,14.92,4.19,5.279999999999998,6.37,7.46,Alabama
0,Living Wage,16.481000093803683,32.520618371450844,40.823939901154375,54.71687674782639,25.44664036255123,30.79342990226829,36.116648541059625,40.474173736141964,12.723042903458422,17.9417276586015,23.150649971565766,27.872534897900557,Alaska
1,Minimum Wage,10.34,10.34,10.34,10.34,10.34,10.34,10.34,10.34,10.34,10.34,10.34,10.34,Alaska
2,Poverty Wage,7.7399999999999975,10.47,13.2,15.93,10.47,13.2,15.93,18.66,5.23,6.6,7.959999999999999,9.33,Alaska
0,Living Wage,17.440128038425932,32.24516970125953,39.158816955165086,52.0559988379167,26.676033675956766,32.24263972006728,37.83342967853694,42.521165260285876,13.341424307570513,17.888947271013397,22.45471859090061,26.56853182351281,Arizona
1,Minimum Wage,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,Arizona
2,Poverty Wage,6.19,8.38,10.56,12.740000000000002,8.38,10.56,12.740000000000002,14.920000000000002,4.19,5.28,6.370000000000001,7.460000000000001,Arizona
0,Living Wage,15.561732366660893,30.081780120217882,37.643224606215384,49.52203483540554,24.299011201925904,29.343391044303708,34.82902418114831,37.83898030855287,12.150296158077932,16.78071445480863,21.631904383220988,25.246755920025922,Arkansas
1,Minimum Wage,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,Arkansas
2,Poverty Wage,6.19,8.379999999999997,10.56,12.740000000000004,8.379999999999997,10.56,12.740000000000004,14.920000000000005,4.189999999999999,5.28,6.370000000000002,7.460000000000003,Arkansas
0,Living Wage,21.919698415617663,44.041472633845586,54.78600694369894,73.77586639072726,33.35349888937404,40.66952512215041,46.637920105340235,53.5026744911559,16.678260524863568,23.907347639373473,30.46210418459016,37.46564469470175,California
1,Minimum Wage,14.999999999999998,14.999999999999998,14.999999999999998,14.999999999999998,14.999999999999998,14.999999999999998,14.999999999999998,14.999999999999998,14.999999999999998,14.999999999999998,14.999999999999998,14.999999999999998,California
2,Poverty Wage,6.19,8.380000000000003,10.560000000000004,12.740000000000002,8.380000000000003,10.560000000000004,12.740000000000002,14.920000000000005,4.190000000000001,5.280000000000002,6.370000000000001,7.460000000000003,California
0,Living Wage,19.143280419991633,37.47404354781208,47.418133823956005,63.807505872505914,29.15951496816912,34.471916969495844,40.09179573850765,45.24313360477514,14.579288264954046,20.513904455296174,26.59678003282919,32.44932298799677,Colorado
1,Minimum Wage,12.559999999999997,12.559999999999997,12.559999999999997,12.559999999999997,12.559999999999997,12.559999999999997,12.559999999999997,12.559999999999997,12.559999999999997,12.559999999999997,12.559999999999997,12.559999999999997,Colorado
2,Poverty Wage,6.1899999999999995,8.379999999999999,10.559999999999995,12.740000000000004,8.379999999999999,10.559999999999995,12.740000000000004,14.920000000000003,4.1899999999999995,5.279999999999998,6.370000000000002,7.460000000000002,Colorado
0,Living Wage,18.57,36.353750000000005,45.29125,60.05375,28.40625,34.138749999999995,40.033750000000005,43.52,14.20125,19.88625,25.792499999999997,30.402500000000003,Connecticut
1,Minimum Wage,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,Connecticut
2,Poverty Wage,6.1899999999999995,8.38,10.56,12.739999999999998,8.38,10.56,12.739999999999998,14.92,4.19,5.28,6.369999999999999,7.46,Connecticut
0,Living Wage,17.703614959210363,35.01289682991685,43.547910007502,57.06855250806169,27.01207490995644,33.360396977207294,38.896047961696624,42.56419060954677,13.507294117416015,19.26461272432335,24.60960598824033,29.02427625403085,Delaware
1,Minimum Wage,10.499999999999998,10.499999999999998,10.499999999999998,10.499999999999998,10.499999999999998,10.499999999999998,10.499999999999998,10.499999999999998,10.499999999999998,10.499999999999998,10.499999999999998,10.499999999999998,Delaware
2,Poverty Wage,6.1899999999999995,8.38,10.56,12.739999999999998,8.38,10.56,12.739999999999998,14.919999999999998,4.19,5.28,6.369999999999999,7.459999999999999,Delaware
0,Living Wage,17.22024305205755,33.85553154142875,41.965933568902756,55.24694960935404,26.275427828308633,32.10368006119895,37.2127550626049,41.17049405382998,13.139110432571211,18.54949496383945,23.598891060180605,28.075320056266566,Florida
1,Minimum Wage,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,Florida
2,Poverty Wage,6.19,8.38,10.559999999999997,12.740000000000004,8.38,10.559999999999997,12.740000000000004,14.919999999999995,4.19,5.2799999999999985,6.370000000000002,7.459999999999997,Florida
0,Living Wage,17.668574082363126,32.023882668738445,39.49439918133729,51.47687953437687,26.342237744704924,31.36341448247637,36.833598226732114,40.04473150674857,13.170850620741879,17.749398171214327,22.550085720602823,26.225043808523967,Georgia
1,Minimum Wage,7.249999999999998,7.249999999999998,7.249999999999998,7.249999999999998,7.249999999999998,7.249999999999998,7.249999999999998,7.249999999999998,7.249999999999998,7.249999999999998,7.249999999999998,7.249999999999998,Georgia
2,Poverty Wage,6.1899999999999995,8.38,10.559999999999993,12.740000000000004,8.38,10.559999999999993,12.740000000000004,14.920000000000002,4.19,5.279999999999997,6.370000000000002,7.460000000000001,Georgia
0,Living Wage,21.98414529683067,41.70310094200876,50.86793536483918,68.8868799067296,32.51919744548,39.80992028408862,45.69826651917834,53.194950503918434,16.25671253803518,22.70777931469314,28.463251367600066,35.259332997248826,Hawaii
1,Minimum Wage,10.099999999999998,10.099999999999998,10.099999999999998,10.099999999999998,10.099999999999998,10.099999999999998,10.099999999999998,10.099999999999998,10.099999999999998,10.099999999999998,10.099999999999998,10.099999999999998,Hawaii
2,Poverty Wage,7.13,9.63,12.139999999999999,14.649999999999999,9.63,12.139999999999999,14.649999999999999,17.16,4.82,6.069999999999999,7.329999999999999,8.58,Hawaii
0,Living Wage,16.16823767310819,31.459383326637553,38.78531140006384,51.47457108775354,25.539198265320913,31.247818618868273,37.0069678184951,41.03813088276477,12.772508116158932,17.551570179568888,22.354689853138137,26.29590528371617,Idaho
1,Minimum Wage,7.250000000000003,7.250000000000003,7.250000000000003,7.250000000000003,7.250000000000003,7.250000000000003,7.250000000000003,7.250000000000003,7.250000000000003,7.250000000000003,7.250000000000003,7.250000000000003,Idaho
2,Poverty Wage,6.190000000000002,8.379999999999999,10.560000000000002,12.739999999999998,8.379999999999999,10.560000000000002,12.739999999999998,14.92,4.1899999999999995,5.280000000000001,6.369999999999999,7.46,Idaho
0,Living Wage,18.19686401120287,34.763036409305315,43.560386525395224,57.34060917813229,27.364089541295407,32.754491142904655,38.453036425338745,41.745135123153425,13.682756142919873,19.1126135185363,24.6959324116475,29.081619320545844,Illinois
1,Minimum Wage,12.000000000000002,12.000000000000002,12.000000000000002,12.000000000000002,12.000000000000002,12.000000000000002,12.000000000000002,12.000000000000002,12.000000000000002,12.000000000000002,12.000000000000002,12.000000000000002,Illinois
