,WageType,1 ADULT - 0,1 ADULT - 1,1 ADULT - 2,1 ADULT - 3,2 ADULTS(1 WORKING) - 0,2 ADULTS(1 WORKING) - 1,2 ADULTS(1 WORKING) - 2,2 ADULTS(1 WORKING) - 3,2 ADULTS(BOTH WORKING) - 0,2 ADULTS(BOTH WORKING) - 1,2 ADULTS(BOTH WORKING) - 2,2 ADULTS(BOTH WORKING) - 3,State,County
0,Living Wage,$16.04 ,$30.58 ,$37.60 ,$48.71 ,$25.52 ,$30.31 ,$35.73 ,$38.52 ,$12.76 ,$17.01 ,$21.58 ,$24.83 ,Alabama,Autauga
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Autauga
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Autauga
0,Living Wage,$16.64 ,$30.79 ,$37.91 ,$49.80 ,$25.19 ,$30.41 ,$35.83 ,$39.30 ,$12.60 ,$17.12 ,$21.74 ,$25.38 ,Alabama,Baldwin
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Baldwin
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Baldwin
0,Living Wage,$14.87 ,$27.83 ,$34.10 ,$43.82 ,$23.41 ,$28.30 ,$33.72 ,$35.89 ,$11.71 ,$15.63 ,$19.83 ,$22.39 ,Alabama,Barbour
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Barbour
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Barbour
0,Living Wage,$17.40 ,$31.01 ,$37.73 ,$49.01 ,$26.33 ,$31.03 ,$36.45 ,$39.72 ,$13.17 ,$17.22 ,$21.64 ,$24.99 ,Alabama,Bibb
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Bibb
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Bibb
0,Living Wage,$17.40 ,$31.37 ,$38.46 ,$50.11 ,$26.33 ,$31.03 ,$36.45 ,$39.72 ,$13.17 ,$17.41 ,$22.01 ,$25.53 ,Alabama,Blount
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Blount
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Blount
0,Living Wage,$15.21 ,$29.01 ,$36.03 ,$46.62 ,$23.85 ,$28.74 ,$34.16 ,$36.44 ,$11.93 ,$16.23 ,$20.80 ,$23.79 ,Alabama,Bullock
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Bullock
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Bullock
0,Living Wage,$14.80 ,$28.47 ,$35.49 ,$45.94 ,$23.91 ,$28.19 ,$33.62 ,$35.76 ,$11.95 ,$15.95 ,$20.52 ,$23.45 ,Alabama,Butler
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Butler
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Butler
0,Living Wage,$14.82 ,$28.40 ,$34.67 ,$44.89 ,$23.85 ,$28.88 ,$34.30 ,$36.95 ,$11.93 ,$15.92 ,$20.11 ,$22.92 ,Alabama,Calhoun
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Calhoun
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Calhoun
0,Living Wage,$15.22 ,$29.65 ,$37.00 ,$48.22 ,$24.40 ,$29.04 ,$34.46 ,$37.05 ,$12.20 ,$16.54 ,$21.28 ,$24.59 ,Alabama,Chambers
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Chambers
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Chambers
0,Living Wage,$14.80 ,$27.44 ,$33.43 ,$43.53 ,$23.33 ,$28.19 ,$33.62 ,$36.44 ,$11.66 ,$15.44 ,$19.49 ,$22.25 ,Alabama,Cherokee
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Cherokee
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Cherokee
0,Living Wage,$15.69 ,$29.08 ,$36.10 ,$47.72 ,$24.44 ,$28.80 ,$34.22 ,$37.54 ,$12.22 ,$16.26 ,$20.83 ,$24.34 ,Alabama,Chilton
