,WageType,1 ADULT - 0,1 ADULT - 1,1 ADULT - 2,1 ADULT - 3,2 ADULTS(1 WORKING) - 0,2 ADULTS(1 WORKING) - 1,2 ADULTS(1 WORKING) - 2,2 ADULTS(1 WORKING) - 3,2 ADULTS(BOTH WORKING) - 0,2 ADULTS(BOTH WORKING) - 1,2 ADULTS(BOTH WORKING) - 2,2 ADULTS(BOTH WORKING) - 3,State,County,2022 Population Est
0,Living Wage,$16.04 ,$30.58 ,$37.60 ,$48.71 ,$25.52 ,$30.31 ,$35.73 ,$38.52 ,$12.76 ,$17.01 ,$21.58 ,$24.83 ,Alabama,Autauga,59759
1,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Autauga,59759
2,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Autauga,59759
3,Living Wage,$16.64 ,$30.79 ,$37.91 ,$49.80 ,$25.19 ,$30.41 ,$35.83 ,$39.30 ,$12.60 ,$17.12 ,$21.74 ,$25.38 ,Alabama,Baldwin,246435
4,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Baldwin,246435
5,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Baldwin,246435
6,Living Wage,$14.87 ,$27.83 ,$34.10 ,$43.82 ,$23.41 ,$28.30 ,$33.72 ,$35.89 ,$11.71 ,$15.63 ,$19.83 ,$22.39 ,Alabama,Barbour,24706
7,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Barbour,24706
8,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Barbour,24706
9,Living Wage,$17.40 ,$31.01 ,$37.73 ,$49.01 ,$26.33 ,$31.03 ,$36.45 ,$39.72 ,$13.17 ,$17.22 ,$21.64 ,$24.99 ,Alabama,Bibb,22005
10,Poverty Wage,$6.19 ,$8.38 ,$10.56 ,$12.74 ,$8.38 ,$10.56 ,$12.74 ,$14.92 ,$4.19 ,$5.28 ,$6.37 ,$7.46 ,Alabama,Bibb,22005
11,Minimum Wage,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,Alabama,Bibb,22005
