,County,State,Living Wage,Cost Average,CompSciSalary
0,Abbeville,South Carolina,70023.2,69896.0,"$77,329 "
1,Acadia,Louisiana,71662.93333333333,71543.41666666667,"$72,760 "
2,Accomack,Virginia,68612.26666666668,68493.08333333333,"$110,039 "
3,Ada,Idaho,77506.0,77379.16666666667,"$75,349 "
4,Adair,Iowa,74197.06666666667,74072.66666666667,"$85,033 "
5,Adair,Kentucky,69255.33333333333,69131.83333333333,"$75,831 "
6,Adair,Missouri,67929.33333333333,67802.75,"$84,134 "
7,Adair,Oklahoma,69726.8,69603.83333333333,"$76,045 "
8,Adams,Colorado,90648.13333333335,90521.75,"$103,469 "
9,Adams,Idaho,70406.26666666668,70284.08333333333,"$75,349 "
10,Adams,Illinois,72155.20000000001,72034.91666666667,"$97,295 "
11,Adams,Indiana,66766.26666666668,66641.75,"$79,779 "
12,Adams,Iowa,74164.13333333333,74041.75,"$85,033 "
13,Adams,Mississippi,69064.66666666667,68942.41666666667,"$69,753 "
14,Adams,Nebraska,73579.99999999999,73455.25,"$83,749 "
15,Adams,North Dakota,69929.59999999999,69806.08333333333,"$73,787 "
16,Adams,Ohio,70813.59999999999,70692.41666666667,"$87,226 "
17,Adams,Pennsylvania,73170.93333333333,73047.5,"$88,928 "
18,Adams,Washington,67002.00000000001,66880.66666666667,"$131,043 "
19,Adams,Wisconsin,72567.73333333334,72446.25,"$83,503 "
20,Addison,Vermont,81785.59999999999,81664.5,"$77,671 "
21,Aiken,South Carolina,73503.73333333334,73385.75,"$77,329 "
22,Aitkin,Minnesota,74793.33333333334,74669.0,"$97,916 "
23,Alachua,Florida,76214.66666666666,76085.5,"$82,133 "
24,Alamance,North Carolina,76296.13333333332,76170.08333333333,"$94,214 "
25,Alameda,California,113184.93333333335,113062.83333333333,"$119,872 "
26,Alamosa,Colorado,73999.46666666666,73875.0,"$103,469 "
27,Albany,New York,84467.06666666667,84346.91666666667,"$102,164 "
28,Albany,Wyoming,69487.6,69365.83333333333,"$66,672 "
29,Albemarle,Virginia,81449.33333333333,81330.5,"$110,039 "
30,Alcona,Michigan,69622.8,69500.25,"$84,166 "
31,Alcorn,Mississippi,68508.26666666666,68384.25,"$69,753 "
32,Aleutians East,Alaska,73560.93333333333,73434.16666666667,"$87,526 "
33,Aleutians West,Alaska,82770.13333333332,82650.25,"$87,526 "
34,Alexander,Illinois,73541.86666666668,73415.83333333333,"$97,295 "
35,Alexander,North Carolina,69499.73333333334,69379.25,"$94,214 "
36,Alexandria,Virginia,98754.93333333333,98632.25,"$110,039 "
37,Alfalfa,Oklahoma,69733.73333333334,69605.41666666667,"$76,045 "
38,Alger,Michigan,76431.33333333333,76300.83333333333,"$84,166 "
39,Allamakee,Iowa,75138.26666666668,75012.25,"$85,033 "
40,Allegan,Michigan,76807.46666666666,76684.0,"$84,166 "
41,Allegany,Maryland,69430.4,69309.41666666667,"$109,975 "
42,Allegany,New York,74247.33333333333,74126.33333333333,"$102,164 "
43,Alleghany,North Carolina,66728.13333333335,66603.75,"$94,214 "
44,Alleghany,Virginia,70340.40000000001,70218.0,"$110,039 "
45,Allegheny,Pennsylvania,74372.13333333335,74249.58333333333,"$88,928 "
46,Allen,Indiana,67723.06666666667,67597.0,"$79,779 "
47,Allen,Kansas,70572.66666666666,70449.58333333333,"$78,720 "
48,Allen,Kentucky,67925.86666666665,67799.83333333333,"$75,831 "
49,Allen,Louisiana,71435.86666666665,71316.33333333333,"$72,760 "
50,Allen,Ohio,68702.40000000001,68578.33333333333,"$87,226 "
51,Allendale,South Carolina,70907.2,70786.33333333333,"$77,329 "
52,Alpena,Michigan,73120.66666666667,73001.91666666667,"$84,166 "
53,Alpine,California,82829.06666666667,82710.0,"$119,872 "
54,Amador,California,84191.46666666666,84068.91666666667,"$119,872 "
55,Amelia,Virginia,77878.66666666667,77760.41666666667,"$110,039 "
56,Amherst,Virginia,71399.46666666667,71280.41666666667,"$110,039 "
57,Amite,Mississippi,67022.8,66899.25,"$69,753 "
58,Anderson,Kansas,71376.93333333333,71252.33333333333,"$78,720 "
59,Anderson,Kentucky,70711.33333333333,70585.83333333333,"$75,831 "
60,Anderson,South Carolina,73583.46666666667,73463.66666666667,"$77,329 "
61,Anderson,Tennessee,67542.8,67418.0,"$77,543 "
62,Anderson,Texas,66707.33333333333,66584.5,"$96,439 "
63,Andrew,Missouri,70378.53333333334,70257.75,"$84,134 "
64,Andrews,Texas,71496.53333333334,71375.91666666667,"$96,439 "
65,Androscoggin,Maine,78641.33333333334,78517.75,"$81,213 "
66,Angelina,Texas,67560.13333333333,67443.08333333333,"$96,439 "
67,Anne Arundel,Maryland,85092.8,84972.25,"$109,975 "
68,Anoka,Minnesota,87136.39999999998,87015.58333333333,"$97,916 "
69,Anson,North Carolina,71744.40000000001,71625.33333333333,"$94,214 "
70,Antelope,Nebraska,73294.00000000001,73171.08333333333,"$83,749 "
71,Antrim,Michigan,77506.0,77384.16666666667,"$84,166 "
72,Apache,Arizona,70992.13333333335,70867.5,"$89,591 "
73,Appanoose,Iowa,73781.06666666668,73657.91666666667,"$85,033 "
74,Appling,Georgia,67163.20000000001,67042.91666666667,"$95,594 "
75,Appomattox,Virginia,71399.46666666667,71280.41666666667,"$110,039 "
76,Aransas,Texas,70217.33333333333,70095.91666666667,"$96,439 "
77,Arapahoe,Colorado,90967.06666666665,90840.75,"$103,469 "
78,Archer,Texas,67196.13333333333,67071.41666666667,"$96,439 "
79,Archuleta,Colorado,77596.13333333335,77475.5,"$103,469 "
80,Arenac,Michigan,70465.2,70341.66666666667,"$84,166 "
81,Arkansas,Arkansas,69052.53333333333,68931.33333333333,"$74,686 "
82,Arlington,Virginia,104183.73333333332,104062.66666666667,"$110,039 "
83,Armstrong,Pennsylvania,69974.66666666666,69852.25,"$88,928 "
84,Armstrong,Texas,69135.73333333334,69016.08333333333,"$96,439 "
85,Aroostook,Maine,72042.53333333334,71920.25,"$81,213 "
86,Arthur,Nebraska,73406.66666666667,73279.08333333333,"$83,749 "
87,Ascension,Louisiana,77596.13333333333,77469.75,"$72,760 "
88,Ashe,North Carolina,68425.06666666667,68306.41666666667,"$94,214 "
89,Ashland,Ohio,68331.46666666666,68206.0,"$87,226 "
90,Ashland,Wisconsin,70903.73333333332,70777.66666666667,"$83,503 "
91,Ashley,Arkansas,66946.53333333333,66827.08333333333,"$74,686 "
92,Ashtabula,Ohio,70754.66666666666,70630.58333333333,"$87,226 "
93,Asotin,Washington,68880.93333333333,68757.75,"$131,043 "
94,Assumption,Louisiana,72895.33333333334,72780.25,"$72,760 "
95,Atascosa,Texas,70038.79999999999,69917.08333333333,"$96,439 "
96,Atchison,Kansas,71489.6,71367.41666666667,"$78,720 "
97,Atchison,Missouri,67494.26666666666,67366.66666666667,"$84,134 "
98,Athens,Ohio,72621.46666666666,72497.75,"$87,226 "
99,Atkinson,Georgia,66969.06666666668,66847.75,"$95,594 "
100,Atlantic,New Jersey,89058.66666666667,88933.08333333333,"$107,257 "
101,Atoka,Oklahoma,69725.06666666667,69605.25,"$76,045 "
102,Attala,Mississippi,68222.26666666668,68095.83333333333,"$69,753 "
103,Audrain,Missouri,67792.40000000001,67667.16666666667,"$84,134 "
104,Audubon,Iowa,73623.33333333334,73494.91666666667,"$85,033 "
105,Auglaize,Ohio,71083.99999999999,70962.83333333333,"$87,226 "
106,Augusta,Virginia,75658.26666666666,75537.08333333333,"$110,039 "
107,Aurora,South Dakota,67180.53333333333,67054.66666666667,"$70,727 "
108,Austin,Texas,71519.06666666667,71395.66666666667,"$96,439 "
109,Autauga,Alabama,71997.46666666666,71872.5,"$86,938 "
110,Avery,North Carolina,71702.8,71577.08333333333,"$94,214 "
111,Avoyelles,Louisiana,71331.86666666667,71210.41666666667,"$72,760 "
112,Baca,Colorado,71064.93333333333,70940.5,"$103,469 "
113,Bacon,Georgia,66976.0,66857.16666666667,"$95,594 "
114,Bailey,Texas,66332.93333333333,66212.83333333333,"$96,439 "
115,Baker,Florida,68291.59999999999,68171.58333333333,"$82,133 "
