,CostType,1 ADULT - 0,1 ADULT - 1,1 ADULT - 2,1 ADULT - 3,2 ADULTS(1 WORKING) - 0,2 ADULTS(1 WORKING) - 1,2 ADULTS(1 WORKING) - 2,2 ADULTS(1 WORKING) - 3,2 ADULTS(BOTH WORKING) - 0,2 ADULTS(BOTH WORKING) - 1,2 ADULTS(BOTH WORKING) - 2,2 ADULTS(BOTH WORKING) - 3,State
0,Annual taxes,6275.3390600390685,11759.099260271772,14505.321521645561,18900.21872984942,9780.477043909146,11672.233021684193,13809.187100437188,14949.134396771491,9780.477043909146,13115.570582599039,16695.639045495176,19278.382914595444,Alabama
1,Child Care,0.0,6172.249776323651,12344.374006167556,18516.623782491202,0.0,6172.249776323651,12344.374006167556,18516.623782491202,0.0,6172.249776323651,12344.374006167556,18516.623782491202,Alabama
2,Civic,2503.000000000001,4019.0000000000005,4965.0,6483.000000000004,4019.0000000000005,4965.0,6483.000000000004,5153.000000000001,4019.0000000000005,4965.0,6483.000000000004,5153.000000000001,Alabama
3,Food,3351.0,4937.0,7417.000000000003,9837.999999999998,6143.0,7645.000000000001,9856.0,11999.000000000004,6143.0,7645.000000000001,9856.0,11999.000000000004,Alabama
4,Housing,8113.695503376232,10622.963088869867,10622.963088869867,13897.840657699115,8750.449581380353,10622.963088869867,10622.963088869867,13897.840657699115,8750.449581380353,10622.963088869867,10622.963088869867,13897.840657699115,Alabama
5,Medical,2733.0000000000005,7921.0,7708.000000000002,8017.999999999997,6297.999999999999,7708.000000000002,8017.999999999997,7807.000000000003,6297.999999999999,7708.000000000002,8017.999999999997,7807.000000000003,Alabama
6,Other,4507.999999999999,6723.0,6149.999999999998,8947.999999999998,6723.0,6149.999999999998,8947.999999999998,8655.000000000002,6723.0,6149.999999999998,8947.999999999998,8655.000000000002,Alabama
7,Required annual income after taxes,26839.877971446695,50294.3654363088,62040.052913152875,80836.59750712216,41831.428278129606,49923.18663593924,59063.09779248197,63938.37833859119,41831.428278129606,56095.436412262905,71407.47179864948,82455.00212108242,Alabama
8,Required annual income before taxes,33115.17774741561,62053.61067190404,76545.40638583164,99736.73802099837,51611.9205769628,61595.693644990366,72872.48736573508,78887.56338376789,51611.9205769628,69211.02245336102,88102.92527416612,101733.38885059133,Alabama
9,Transportation,5509.000000000002,9775.999999999998,12708.999999999996,15011.999999999998,9775.999999999998,12708.999999999996,15011.999999999998,16304.0,9775.999999999998,12708.999999999996,15011.999999999998,16304.0,Alabama
0,Annual taxes,4782.634784163593,9436.266003787323,11845.379356741261,15876.841304691941,7383.394037017279,8935.094023532998,10479.11463396045,11744.083966019616,7383.394037017279,10412.266003787323,13433.810841946659,16175.90469839185,Alaska
1,Child Care,0.0,9112.356175506686,18224.676608879687,27337.0605707954,0.0,9112.356175506686,18224.676608879687,27337.0605707954,0.0,9112.356175506686,18224.676608879687,27337.0605707954,Alaska
2,Civic,2581.0,4144.000000000001,5120.0,6686.0,4144.000000000001,5120.0,6686.0,5313.999999999999,4144.000000000001,5120.0,6686.0,5313.999999999999,Alaska
3,Food,3999.0,5892.999999999999,8853.0,11742.0,7331.999999999999,9124.0,11764.0,14321.0,7331.999999999999,9124.0,11764.0,14321.0,Alaska
4,Housing,10730.88172821556,15243.825193909797,15243.825193909797,21222.048648933865,11614.984358236256,15243.825193909797,15243.825193909797,21222.048648933865,11614.984358236256,15243.825193909797,15243.825193909797,21222.048648933865,Alaska
5,Medical,2382.0,7848.999999999999,7634.999999999999,7945.0,6487.0,7634.999999999999,7945.0,7734.0,6487.0,7634.999999999999,7945.0,7734.0,Alaska
6,Other,4748.0,7080.0,6477.0,9424.0,7080.0,6477.0,9424.0,9115.0,7080.0,6477.0,9424.0,9115.0,Alaska
7,Required annual income after taxes,29501.881728215558,58207.60113502453,73067.94332792007,97934.12980084307,45543.57625652962,55115.24495951785,64640.26671904039,72442.65571997256,45543.57625652962,64227.601135024524,82864.94332792006,99779.71629076794,Alaska
8,Required annual income before taxes,34284.50677438456,67643.82154436035,84913.69512338116,113810.71916643705,52926.9958433244,64050.27165252771,75119.38853484513,84186.72592909614,52926.9958433244,74639.82154436034,96298.74897255657,115955.61114563608,Alaska
9,Transportation,4938.000000000001,8761.999999999998,11391.000000000002,13455.999999999998,8761.999999999998,11391.000000000002,13455.999999999998,14612.999999999998,8761.999999999998,11391.000000000002,13455.999999999998,14612.999999999998,Alaska
0,Annual taxes,6272.538765846328,12153.302481235385,14759.778595681022,19620.565211666435,9926.033032272408,12151.60884061128,14259.591764971097,16025.87010811098,9926.033032272408,13485.318509071032,16927.778595681026,20028.647714417755,Arizona
1,Child Care,0.0,6028.986345521122,12057.651662946379,18086.577517628622,0.0,6028.986345521122,12057.651662946379,18086.577517628622,0.0,6028.986345521122,12057.651662946379,18086.577517628622,Arizona
2,Civic,2581.0,4144.0,5120.0,6686.0,4144.0,5120.0,6686.0,5314.0,4144.0,5120.0,6686.0,5314.0,Arizona
3,Food,3999.0,5893.0,8853.0,11742.0,7332.0,9124.0,11764.0,14321.0,7332.0,9124.0,11764.0,14321.0,Arizona
4,Housing,11010.948662197792,15057.428538602784,15057.428538602784,21216.90830045724,12208.852795760191,15057.428538602784,15057.428538602784,21216.90830045724,12208.852795760191,15057.428538602784,15057.428538602784,21216.90830045724,Arizona
5,Medical,2607.0,7829.0,7616.0,7925.0,5910.0,7616.0,7925.0,7714.0,5910.0,7616.0,7925.0,7714.0,Arizona
6,Other,4748.0,7080.0,6477.0,9424.0,7080.0,6477.0,9424.0,9115.0,7080.0,6477.0,9424.0,9115.0,Arizona
7,Required annual income after taxes,30007.015468127844,54918.3848786763,66695.09571832362,88659.42389787908,45560.81928381588,54909.39853315518,64434.44405537723,72417.91581282577,45560.81928381588,60938.3848786763,76492.09571832362,90504.4933304544,Arizona
8,Required annual income before taxes,36280.219974679305,67071.54364898779,81454.87113648404,108279.32647108102,55486.88055857181,67060.84364272351,78694.01399935345,88443.81776041599,55486.88055857181,74423.80045078287,93419.87113648404,110533.14766787736,Arizona
9,Transportation,4938.0,8762.0,11391.0,13456.0,8762.0,11391.0,13456.0,14613.0,8762.0,11391.0,13456.0,14613.0,Arizona
0,Annual taxes,6424.828326882028,12420.400670532961,15542.283179512204,20446.342681022066,10033.055189111508,12115.966190652402,14379.111672533529,15622.622424471465,10033.055189111508,13857.206448765894,17862.2831795122,20847.227142630592,Arkansas
1,Child Care,0.0,7031.666089885302,14063.470678876047,21095.166800574065,0.0,7031.666089885302,14063.470678876047,21095.166800574065,0.0,7031.666089885302,14063.470678876047,21095.166800574065,Arkansas
2,Civic,2503.0,4018.9999999999986,4965.000000000002,6482.999999999999,4018.9999999999986,4965.000000000002,6482.999999999999,5152.999999999999,4018.9999999999986,4965.000000000002,6482.999999999999,5152.999999999999,Arkansas
3,Food,3350.9999999999995,4937.000000000001,7417.000000000002,9837.999999999998,6143.000000000001,7645.000000000003,9856.000000000004,11999.0,6143.000000000001,7645.000000000003,9856.000000000004,11999.0,Arkansas
